vehicle_code,registration_number,type,make,model,year,color,vin,engine_number,acquisition_date,acquisition_cost,current_mileage,fuel_type,capacity,status,attribute_number,attribute_text,notes
VEH-0009,AGL-559-DE,VAN,Ford,Transit,2016,Grey,DEMOAGL559DE,,2020-09-06,7800000.0,132000,DIESEL,3,OUT_OF_SERVICE,,,[DEMO DATA]
VEH-0005,APP-118-YC,TRUCK,MAN,TGS 26.440,2017,Blue,DEMOAPP118YC,,2021-09-06,4.5E7,155290,DIESEL,2,ASSIGNED,20.0,MANUAL,[DEMO DATA]
VEH-0003,EKY-207-BD,CAR,Hyundai,Elantra,2018,Black,DEMOEKY207BD,,2022-09-06,6200000.0,88750,PETROL,5,MAINTENANCE,4.0,AUTOMATIC,[DEMO DATA]
VEH-0006,FST-624-KD,TRUCK,Mercedes-Benz,Atego 1518,2019,White,DEMOFST624KD,,2023-09-06,3.2E7,96100,DIESEL,2,AVAILABLE,8.0,MANUAL,[DEMO DATA]
VEH-0008,IKJ-402-QB,MOTORCYCLE,TVS,HLX 125,2021,Black,DEMOIKJ402QB,,2024-09-06,580000.0,21400,PETROL,2,AVAILABLE,2.0,STANDARD,[DEMO DATA]
VEH-0002,KJA-915-AA,CAR,Toyota,Hilux,2021,White,DEMOKJA915AA,,2024-09-06,2.1E7,38739,PETROL,5,ASSIGNED,4.0,MANUAL,[DEMO DATA]
VEH-0010,LND-009-AB,CAR,Peugeot,406,2008,Green,DEMOLND009AB,,2012-09-06,1200000.0,312000,PETROL,5,RETIRED,4.0,MANUAL,[DEMO DATA]
VEH-0001,LND-482-KJA,CAR,Toyota,Corolla,2019,Silver,DEMOLND482KJA,,2023-09-06,8500000.0,61398,PETROL,5,ASSIGNED,4.0,AUTOMATIC,[DEMO DATA]
VEH-0004,LSR-330-XA,BUS,Toyota,Hiace,2020,White,DEMOLSR330XA,,2024-03-06,1.85E7,72300,DIESEL,14,AVAILABLE,,,[DEMO DATA]
VEH-0007,MUS-771-QA,MOTORCYCLE,Bajaj,Boxer 150,2022,Red,DEMOMUS771QA,,2025-06-06,650000.0,12851,PETROL,2,IN_SERVICE,2.0,STANDARD,[DEMO DATA]
